campaign_record_id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,subscribed,subscription_flag,default_flag,housing_loan_flag,personal_loan_flag,previously_contacted,days_since_previous_contact,age_group,age_group_order,balance_band,balance_band_order,negative_balance_flag,campaign_contact_band,campaign_contact_band_order,contact_duration_minutes,previous_campaign_status,previous_campaign_success_flag,loan_profile,active_loan_count,contact_known_flag,contact_month_num,contact_quarter
1,58,management,married,tertiary,no,2143,yes,no,unknown,5,may,261,1,-1,0,unknown,no,0,0,1,0,0,,50-59,4,"1,001-5,000",3,0,1 contact,1,4.35,No previous contact,0,Housing loan only,1,0,5,Q2
2,44,technician,single,secondary,no,29,yes,no,unknown,5,may,151,1,-1,0,unknown,no,0,0,1,0,0,,40-49,3,"0-1,000",2,0,1 contact,1,2.52,No previous contact,0,Housing loan only,1,0,5,Q2
3,33,entrepreneur,married,secondary,no,2,yes,yes,unknown,5,may,76,1,-1,0,unknown,no,0,0,1,1,0,,30-39,2,"0-1,000",2,0,1 contact,1,1.27,No previous contact,0,Housing + personal loans,2,0,5,Q2
4,47,blue-collar,married,unknown,no,1506,yes,no,unknown,5,may,92,1,-1,0,unknown,no,0,0,1,0,0,,40-49,3,"1,001-5,000",3,0,1 contact,1,1.53,No previous contact,0,Housing loan only,1,0,5,Q2
5,33,unknown,single,unknown,no,1,no,no,unknown,5,may,198,1,-1,0,unknown,no,0,0,0,0,0,,30-39,2,"0-1,000",2,0,1 contact,1,3.3,No previous contact,0,No loans,0,0,5,Q2
6,35,management,married,tertiary,no,231,yes,no,unknown,5,may,139,1,-1,0,unknown,no,0,0,1,0,0,,30-39,2,"0-1,000",2,0,1 contact,1,2.32,No previous contact,0,Housing loan only,1,0,5,Q2
7,28,management,single,tertiary,no,447,yes,yes,unknown,5,may,217,1,-1,0,unknown,no,0,0,1,1,0,,18-29,1,"0-1,000",2,0,1 contact,1,3.62,No previous contact,0,Housing + personal loans,2,0,5,Q2
8,42,entrepreneur,divorced,tertiary,yes,2,yes,no,unknown,5,may,380,1,-1,0,unknown,no,0,1,1,0,0,,40-49,3,"0-1,000",2,0,1 contact,1,6.33,No previous contact,0,Housing loan only,1,0,5,Q2
9,58,retired,married,primary,no,121,yes,no,unknown,5,may,50,1,-1,0,unknown,no,0,0,1,0,0,,50-59,4,"0-1,000",2,0,1 contact,1,0.83,No previous contact,0,Housing loan only,1,0,5,Q2
10,43,technician,single,secondary,no,593,yes,no,unknown,5,may,55,1,-1,0,unknown,no,0,0,1,0,0,,40-49,3,"0-1,000",2,0,1 contact,1,0.92,No previous contact,0,Housing loan only,1,0,5,Q2
