campaign_record_id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,subscribed,subscription_flag,default_flag,housing_loan_flag,personal_loan_flag,previously_contacted,days_since_previous_contact,age_group,age_group_order,balance_band,balance_band_order,negative_balance_flag,campaign_contact_band,campaign_contact_band_order,contact_duration_minutes,previous_campaign_status,previous_campaign_success_flag,loan_profile,active_loan_count,contact_known_flag,contact_month_num,contact_quarter,subscription_probability,subscription_probability_pct,priority_target_flag,priority_target_status,propensity_band,propensity_band_order,propensity_decile,propensity_percentile
1,58,management,married,tertiary,no,2143,yes,no,unknown,5,may,261,1,-1,0,unknown,no,0,0,1,0,0,,50-59,4,"1,001-5,000",3,0,1 contact,1,4.35,No previous contact,0,Housing loan only,1,0,5,Q2,0.1513711623036067,15.14,0,Below Target Threshold,Low Propensity,1,10,5.41
2,44,technician,single,secondary,no,29,yes,no,unknown,5,may,151,1,-1,0,unknown,no,0,0,1,0,0,,40-49,3,"0-1,000",2,0,1 contact,1,2.52,No previous contact,0,Housing loan only,1,0,5,Q2,0.19328913420809057,19.33,0,Below Target Threshold,Low Propensity,1,9,14.14
3,33,entrepreneur,married,secondary,no,2,yes,yes,unknown,5,may,76,1,-1,0,unknown,no,0,0,1,1,0,,30-39,2,"0-1,000",2,0,1 contact,1,1.27,No previous contact,0,Housing + personal loans,2,0,5,Q2,0.12991807314104642,12.99,0,Below Target Threshold,Low Propensity,1,10,2.57
4,47,blue-collar,married,unknown,no,1506,yes,no,unknown,5,may,92,1,-1,0,unknown,no,0,0,1,0,0,,40-49,3,"1,001-5,000",3,0,1 contact,1,1.53,No previous contact,0,Housing loan only,1,0,5,Q2,0.1833508641238341,18.34,0,Below Target Threshold,Low Propensity,1,9,11.96
5,33,unknown,single,unknown,no,1,no,no,unknown,5,may,198,1,-1,0,unknown,no,0,0,0,0,0,,30-39,2,"0-1,000",2,0,1 contact,1,3.3,No previous contact,0,No loans,0,0,5,Q2,0.12086332694050576,12.09,0,Below Target Threshold,Low Propensity,1,10,1.72
6,35,management,married,tertiary,no,231,yes,no,unknown,5,may,139,1,-1,0,unknown,no,0,0,1,0,0,,30-39,2,"0-1,000",2,0,1 contact,1,2.32,No previous contact,0,Housing loan only,1,0,5,Q2,0.15285450216422972,15.29,0,Below Target Threshold,Low Propensity,1,10,5.63
7,28,management,single,tertiary,no,447,yes,yes,unknown,5,may,217,1,-1,0,unknown,no,0,0,1,1,0,,18-29,1,"0-1,000",2,0,1 contact,1,3.62,No previous contact,0,Housing + personal loans,2,0,5,Q2,0.1595585699392494,15.96,0,Below Target Threshold,Low Propensity,1,10,6.85
8,42,entrepreneur,divorced,tertiary,yes,2,yes,no,unknown,5,may,380,1,-1,0,unknown,no,0,1,1,0,0,,40-49,3,"0-1,000",2,0,1 contact,1,6.33,No previous contact,0,Housing loan only,1,0,5,Q2,0.20432086490276494,20.43,0,Below Target Threshold,Low Propensity,1,9,16.57
9,58,retired,married,primary,no,121,yes,no,unknown,5,may,50,1,-1,0,unknown,no,0,0,1,0,0,,50-59,4,"0-1,000",2,0,1 contact,1,0.83,No previous contact,0,Housing loan only,1,0,5,Q2,0.12028212516557953,12.03,0,Below Target Threshold,Low Propensity,1,10,1.67
10,43,technician,single,secondary,no,593,yes,no,unknown,5,may,55,1,-1,0,unknown,no,0,0,1,0,0,,40-49,3,"0-1,000",2,0,1 contact,1,0.92,No previous contact,0,Housing loan only,1,0,5,Q2,0.25287729035171297,25.29,0,Below Target Threshold,Low Propensity,1,8,26.35
11,41,admin.,divorced,secondary,no,270,yes,no,unknown,5,may,222,1,-1,0,unknown,no,0,0,1,0,0,,40-49,3,"0-1,000",2,0,1 contact,1,3.7,No previous contact,0,Housing loan only,1,0,5,Q2,0.25216120225747396,25.22,0,Below Target Threshold,Low Propensity,1,8,26.22
12,29,admin.,single,secondary,no,390,yes,no,unknown,5,may,137,1,-1,0,unknown,no,0,0,1,0,0,,18-29,1,"0-1,000",2,0,1 contact,1,2.28,No previous contact,0,Housing loan only,1,0,5,Q2,0.24228597345603659,24.23,0,Below Target Threshold,Low Propensity,1,8,24.3
13,53,technician,married,secondary,no,6,yes,no,unknown,5,may,517,1,-1,0,unknown,no,0,0,1,0,0,,50-59,4,"0-1,000",2,0,1 contact,1,8.62,No previous contact,0,Housing loan only,1,0,5,Q2,0.1217395200280513,12.17,0,Below Target Threshold,Low Propensity,1,10,1.8
14,58,technician,married,unknown,no,71,yes,no,unknown,5,may,71,1,-1,0,unknown,no,0,0,1,0,0,,50-59,4,"0-1,000",2,0,1 contact,1,1.18,No previous contact,0,Housing loan only,1,0,5,Q2,0.13451774018500753,13.45,0,Below Target Threshold,Low Propensity,1,10,3.06
15,57,services,married,secondary,no,162,yes,no,unknown,5,may,174,1,-1,0,unknown,no,0,0,1,0,0,,50-59,4,"0-1,000",2,0,1 contact,1,2.9,No previous contact,0,Housing loan only,1,0,5,Q2,0.15221869596063364,15.22,0,Below Target Threshold,Low Propensity,1,10,5.54
16,51,retired,married,primary,no,229,yes,no,unknown,5,may,353,1,-1,0,unknown,no,0,0,1,0,0,,50-59,4,"0-1,000",2,0,1 contact,1,5.88,No previous contact,0,Housing loan only,1,0,5,Q2,0.12750690268516954,12.75,0,Below Target Threshold,Low Propensity,1,10,2.35
17,45,admin.,single,unknown,no,13,yes,no,unknown,5,may,98,1,-1,0,unknown,no,0,0,1,0,0,,40-49,3,"0-1,000",2,0,1 contact,1,1.63,No previous contact,0,Housing loan only,1,0,5,Q2,0.15333191973829785,15.33,0,Below Target Threshold,Low Propensity,1,10,5.73
18,57,blue-collar,married,primary,no,52,yes,no,unknown,5,may,38,1,-1,0,unknown,no,0,0,1,0,0,,50-59,4,"0-1,000",2,0,1 contact,1,0.63,No previous contact,0,Housing loan only,1,0,5,Q2,0.13809442823672616,13.81,0,Below Target Threshold,Low Propensity,1,10,3.49
19,60,retired,married,primary,no,60,yes,no,unknown,5,may,219,1,-1,0,unknown,no,0,0,1,0,0,,60+,5,"0-1,000",2,0,1 contact,1,3.65,No previous contact,0,Housing loan only,1,0,5,Q2,0.17134539298124635,17.13,0,Below Target Threshold,Low Propensity,1,10,9.32
20,33,services,married,secondary,no,0,yes,no,unknown,5,may,54,1,-1,0,unknown,no,0,0,1,0,0,,30-39,2,"0-1,000",2,0,1 contact,1,0.9,No previous contact,0,Housing loan only,1,0,5,Q2,0.12158669993934026,12.16,0,Below Target Threshold,Low Propensity,1,10,1.78
21,28,blue-collar,married,secondary,no,723,yes,yes,unknown,5,may,262,1,-1,0,unknown,no,0,0,1,1,0,,18-29,1,"0-1,000",2,0,1 contact,1,4.37,No previous contact,0,Housing + personal loans,2,0,5,Q2,0.23618228286509885,23.62,0,Below Target Threshold,Low Propensity,1,8,23.16
22,56,management,married,tertiary,no,779,yes,no,unknown,5,may,164,1,-1,0,unknown,no,0,0,1,0,0,,50-59,4,"0-1,000",2,0,1 contact,1,2.73,No previous contact,0,Housing loan only,1,0,5,Q2,0.15903751840951752,15.9,0,Below Target Threshold,Low Propensity,1,10,6.75
23,32,blue-collar,single,primary,no,23,yes,yes,unknown,5,may,160,1,-1,0,unknown,no,0,0,1,1,0,,30-39,2,"0-1,000",2,0,1 contact,1,2.67,No previous contact,0,Housing + personal loans,2,0,5,Q2,0.19192034271270564,19.19,0,Below Target Threshold,Low Propensity,1,9,13.83
24,25,services,married,secondary,no,50,yes,no,unknown,5,may,342,1,-1,0,unknown,no,0,0,1,0,0,,18-29,1,"0-1,000",2,0,1 contact,1,5.7,No previous contact,0,Housing loan only,1,0,5,Q2,0.1264326011465301,12.64,0,Below Target Threshold,Low Propensity,1,10,2.23
25,40,retired,married,primary,no,0,yes,yes,unknown,5,may,181,1,-1,0,unknown,no,0,0,1,1,0,,40-49,3,"0-1,000",2,0,1 contact,1,3.02,No previous contact,0,Housing + personal loans,2,0,5,Q2,0.16197738978470605,16.2,0,Below Target Threshold,Low Propensity,1,10,7.35
26,44,admin.,married,secondary,no,-372,yes,no,unknown,5,may,172,1,-1,0,unknown,no,0,0,1,0,0,,40-49,3,Negative,1,1,1 contact,1,2.87,No previous contact,0,Housing loan only,1,0,5,Q2,0.13852666460429267,13.85,0,Below Target Threshold,Low Propensity,1,10,3.55
27,39,management,single,tertiary,no,255,yes,no,unknown,5,may,296,1,-1,0,unknown,no,0,0,1,0,0,,30-39,2,"0-1,000",2,0,1 contact,1,4.93,No previous contact,0,Housing loan only,1,0,5,Q2,0.20874970502557758,20.87,0,Below Target Threshold,Low Propensity,1,9,17.54
28,52,entrepreneur,married,secondary,no,113,yes,yes,unknown,5,may,127,1,-1,0,unknown,no,0,0,1,1,0,,50-59,4,"0-1,000",2,0,1 contact,1,2.12,No previous contact,0,Housing + personal loans,2,0,5,Q2,0.12512497173493536,12.51,0,Below Target Threshold,Low Propensity,1,10,2.1
29,46,management,single,secondary,no,-246,yes,no,unknown,5,may,255,2,-1,0,unknown,no,0,0,1,0,0,,40-49,3,Negative,1,1,2-3 contacts,2,4.25,No previous contact,0,Housing loan only,1,0,5,Q2,0.1427568934904436,14.28,0,Below Target Threshold,Low Propensity,1,10,4.08
