age,balance,campaign,previous,previously_contacted,days_since_previous_contact,negative_balance_flag,previous_campaign_success_flag,active_loan_count,contact_known_flag,job,marital,education,default,housing,loan,contact,month,poutcome,subscription_flag
36,861,2,0,0,0.0,0,0,0,1,technician,divorced,secondary,no,no,no,telephone,aug,unknown,0
24,4126,4,7,1,185.0,0,0,0,1,student,single,secondary,no,no,no,cellular,apr,failure,1
44,244,4,0,0,0.0,0,0,1,1,technician,single,secondary,no,yes,no,cellular,aug,unknown,1
48,0,11,0,0,0.0,0,0,0,1,unemployed,married,secondary,no,no,no,telephone,jul,unknown,0
38,257,10,0,0,0.0,0,0,0,1,technician,married,secondary,no,no,no,cellular,aug,unknown,0
48,1513,1,0,0,0.0,0,0,1,1,blue-collar,married,secondary,no,no,yes,cellular,jul,unknown,0
50,4315,11,0,0,0.0,0,0,1,1,management,married,tertiary,no,yes,no,cellular,jul,unknown,0
46,-780,1,0,0,0.0,1,0,1,1,services,married,tertiary,no,no,yes,cellular,feb,unknown,0
46,474,2,0,0,0.0,0,0,0,0,services,married,tertiary,no,no,no,unknown,jun,unknown,0
45,248,2,0,0,0.0,0,0,0,1,admin.,married,secondary,no,no,no,cellular,jul,unknown,0
63,262,1,0,0,0.0,0,0,0,1,retired,married,tertiary,no,no,no,cellular,jul,unknown,0
46,10333,4,0,0,0.0,0,0,1,0,blue-collar,married,primary,no,yes,no,unknown,jun,unknown,0
55,3567,1,0,0,0.0,0,0,0,1,unknown,married,tertiary,no,no,no,cellular,apr,unknown,0
50,732,7,0,0,0.0,0,0,0,1,management,married,secondary,no,no,no,cellular,apr,unknown,0
59,679,4,0,0,0.0,0,0,0,1,retired,divorced,secondary,no,no,no,cellular,jul,unknown,1
59,506,1,0,0,0.0,0,0,1,1,admin.,married,secondary,no,yes,no,cellular,may,unknown,0
60,725,1,0,0,0.0,0,0,1,1,management,married,secondary,no,yes,no,cellular,jul,unknown,0
52,523,1,0,0,0.0,0,0,2,1,technician,married,tertiary,no,yes,yes,cellular,jul,unknown,0
53,0,4,0,0,0.0,0,0,1,1,blue-collar,married,secondary,no,no,yes,telephone,jul,unknown,0
50,412,5,0,0,0.0,0,0,2,1,management,married,tertiary,no,yes,yes,cellular,aug,unknown,0
25,-439,1,0,0,0.0,1,0,1,0,services,single,secondary,no,yes,no,unknown,may,unknown,0
44,72,2,0,0,0.0,0,0,2,0,admin.,married,secondary,no,yes,yes,unknown,may,unknown,0
39,2715,3,0,0,0.0,0,0,1,0,blue-collar,married,primary,no,yes,no,unknown,jun,unknown,0
50,1772,4,0,0,0.0,0,0,0,1,unemployed,married,secondary,no,no,no,cellular,jul,unknown,0
55,96,2,0,0,0.0,0,0,2,0,services,divorced,primary,no,yes,yes,unknown,may,unknown,0
52,249,1,0,0,0.0,0,0,2,1,management,married,tertiary,no,yes,yes,telephone,may,unknown,0
37,6127,2,0,0,0.0,0,0,1,1,admin.,married,secondary,no,yes,no,cellular,apr,unknown,0
39,265,1,2,1,555.0,0,0,1,0,unemployed,divorced,secondary,no,yes,no,unknown,may,other,1
37,1467,1,0,0,0.0,0,0,2,1,entrepreneur,single,tertiary,no,yes,yes,cellular,nov,unknown,0
42,370,5,0,0,0.0,0,0,0,0,technician,married,secondary,no,no,no,unknown,jun,unknown,0
33,12,5,0,0,0.0,0,0,0,1,management,single,tertiary,no,no,no,cellular,aug,unknown,0
31,26,26,0,0,0.0,0,0,1,0,blue-collar,married,primary,no,yes,no,unknown,may,unknown,0
56,0,1,0,0,0.0,0,0,0,1,management,married,tertiary,no,no,no,cellular,nov,unknown,0
44,-228,1,2,1,362.0,1,0,2,1,management,single,secondary,no,yes,yes,cellular,may,failure,0
52,230,4,0,0,0.0,0,0,2,1,technician,married,secondary,no,yes,yes,cellular,nov,unknown,0
37,2685,2,0,0,0.0,0,0,0,0,entrepreneur,married,tertiary,no,no,no,unknown,jun,unknown,0
57,7400,2,0,0,0.0,0,0,1,1,admin.,single,secondary,no,yes,no,cellular,may,unknown,0
48,9207,3,0,0,0.0,0,0,0,1,technician,married,tertiary,no,no,no,cellular,aug,unknown,0
33,47,3,0,0,0.0,0,0,0,1,management,divorced,tertiary,no,no,no,cellular,nov,unknown,0
43,177,18,0,0,0.0,0,0,0,0,management,married,tertiary,no,no,no,unknown,jun,unknown,0
34,151,1,1,1,370.0,0,0,1,1,admin.,single,secondary,no,yes,no,cellular,may,other,1
33,2655,1,0,0,0.0,0,0,1,1,blue-collar,married,unknown,no,yes,no,cellular,nov,unknown,0
36,1031,4,0,0,0.0,0,0,0,1,admin.,married,secondary,no,no,no,cellular,jun,unknown,1
38,1448,1,0,0,0.0,0,0,1,1,technician,married,secondary,no,yes,no,cellular,nov,unknown,0
39,113,2,0,0,0.0,0,0,2,1,technician,divorced,tertiary,no,yes,yes,cellular,apr,unknown,0
29,-125,3,0,0,0.0,1,0,1,0,blue-collar,single,secondary,no,yes,no,unknown,may,unknown,0
50,1549,2,6,1,299.0,0,0,1,1,blue-collar,married,primary,no,yes,no,cellular,may,other,0
52,3634,8,0,0,0.0,0,0,0,1,management,married,tertiary,no,no,no,cellular,feb,unknown,1
58,1713,2,0,0,0.0,0,0,0,0,admin.,divorced,secondary,no,no,no,unknown,may,unknown,0
59,68,2,0,0,0.0,0,0,1,0,management,single,tertiary,no,yes,no,unknown,may,unknown,0
41,-18,6,0,0,0.0,1,0,2,0,admin.,married,secondary,no,yes,yes,unknown,jun,unknown,0
23,231,3,1,1,367.0,0,0,1,1,technician,single,unknown,no,yes,no,cellular,may,other,0
36,9,3,0,0,0.0,0,0,1,0,blue-collar,married,tertiary,no,yes,no,unknown,jun,unknown,0
46,44,9,0,0,0.0,0,0,1,1,blue-collar,married,primary,no,no,yes,cellular,jul,unknown,0
31,31,6,0,0,0.0,0,0,1,1,unemployed,married,secondary,no,yes,no,cellular,jul,unknown,0
70,2346,1,5,1,184.0,0,0,0,1,retired,married,primary,no,no,no,cellular,feb,failure,1
25,579,4,0,0,0.0,0,0,1,0,blue-collar,single,secondary,no,yes,no,unknown,may,unknown,0
48,-471,7,0,0,0.0,1,0,1,0,unemployed,married,tertiary,no,yes,no,unknown,may,unknown,0
57,3767,6,0,0,0.0,0,0,0,1,housemaid,divorced,tertiary,no,no,no,cellular,feb,unknown,0
