column,category,count,percentage
job,blue-collar,9732,21.53
job,management,9458,20.92
job,technician,7597,16.8
job,admin.,5171,11.44
job,services,4154,9.19
job,retired,2264,5.01
job,self-employed,1579,3.49
job,entrepreneur,1487,3.29
job,unemployed,1303,2.88
job,housemaid,1240,2.74
job,student,938,2.07
job,unknown,288,0.64
marital,married,27214,60.19
marital,single,12790,28.29
marital,divorced,5207,11.52
education,secondary,23202,51.32
education,tertiary,13301,29.42
education,primary,6851,15.15
education,unknown,1857,4.11
default,no,44396,98.2
default,yes,815,1.8
housing,yes,25130,55.58
housing,no,20081,44.42
loan,no,37967,83.98
loan,yes,7244,16.02
contact,cellular,29285,64.77
contact,unknown,13020,28.8
contact,telephone,2906,6.43
month,may,13766,30.45
month,jul,6895,15.25
month,aug,6247,13.82
month,jun,5341,11.81
month,nov,3970,8.78
month,apr,2932,6.49
month,feb,2649,5.86
month,jan,1403,3.1
month,oct,738,1.63
month,sep,579,1.28
month,mar,477,1.06
month,dec,214,0.47
poutcome,unknown,36959,81.75
poutcome,failure,4901,10.84
poutcome,other,1840,4.07
poutcome,success,1511,3.34
y,no,39922,88.3
y,yes,5289,11.7
