column,data_type,missing_count,missing_pct,unknown_count,unknown_pct,unique_values
age,int64,0,0.0,0,0.0,77
job,str,0,0.0,0,0.0,12
marital,str,0,0.0,0,0.0,3
education,str,0,0.0,0,0.0,4
default,str,0,0.0,0,0.0,2
balance,int64,0,0.0,0,0.0,7168
housing,str,0,0.0,0,0.0,2
loan,str,0,0.0,0,0.0,2
contact,str,0,0.0,0,0.0,3
day,int64,0,0.0,0,0.0,31
month,str,0,0.0,0,0.0,12
duration,int64,0,0.0,0,0.0,1573
campaign,int64,0,0.0,0,0.0,48
pdays,int64,0,0.0,0,0.0,559
previous,int64,0,0.0,0,0.0,41
poutcome,str,0,0.0,0,0.0,4
y,str,0,0.0,0,0.0,2
