feature,source,purpose,model_use
age_group,age,Customer age segmentation,Yes
age_group_order,age_group,Correct visual sorting,No
balance_band,balance,Account balance segmentation,Optional
balance_band_order,balance_band,Correct visual sorting,No
negative_balance_flag,balance,Identify negative balances,Yes
campaign_contact_band,campaign,Group campaign contact frequency,Optional
campaign_contact_band_order,campaign_contact_band,Correct visual sorting,No
contact_duration_minutes,duration,Campaign engagement analysis,NO - data leakage
previous_campaign_status,poutcome + previously_contacted,Summarise previous campaign history,Yes
previous_campaign_success_flag,poutcome,Identify prior successful response,Yes
loan_profile,housing + loan,Customer loan relationship,Yes
active_loan_count,housing + loan,Number of loan types,Yes
contact_known_flag,contact,Identify known contact channel,Yes
contact_month_num,month,Correct month sorting,Optional
contact_quarter,month,Quarterly campaign analysis,Optional
