segment,customers,subscribers,subscription_rate,customer_share_pct,subscriber_share_pct,lift_vs_overall,conversion_rank,subscriber_volume_rank,segment_type
1 contact,17544,2561,14.6,38.8,48.42,1.25,1,1,Contact Frequency
2-3 contacts,18026,2019,11.2,39.87,38.17,0.96,2,2,Contact Frequency
4-5 contacts,5286,456,8.63,11.69,8.62,0.74,3,3,Contact Frequency
6+ contacts,4355,253,5.81,9.63,4.78,0.5,4,4,Contact Frequency
cellular,29285,4369,14.92,64.77,82.61,1.28,1,1,Contact Method
telephone,2906,390,13.42,6.43,7.37,1.15,2,3,Contact Method
unknown,13020,530,4.07,28.8,10.02,0.35,3,2,Contact Method
mar,477,248,51.99,1.06,4.69,4.44,1,10,Contact Month
dec,214,100,46.73,0.47,1.89,3.99,2,12,Contact Month
sep,579,269,46.46,1.28,5.09,3.97,3,9,Contact Month
oct,738,323,43.77,1.63,6.11,3.74,4,8,Contact Month
apr,2932,577,19.68,6.49,10.91,1.68,5,4,Contact Month
feb,2649,441,16.65,5.86,8.34,1.42,6,6,Contact Month
aug,6247,688,11.01,13.82,13.01,0.94,7,2,Contact Month
jun,5341,546,10.22,11.81,10.32,0.87,8,5,Contact Month
nov,3970,403,10.15,8.78,7.62,0.87,9,7,Contact Month
jan,1403,142,10.12,3.1,2.68,0.87,10,11,Contact Month
jul,6895,627,9.09,15.25,11.85,0.78,11,3,Contact Month
may,13766,925,6.72,30.45,17.49,0.57,12,1,Contact Month
Q1,4529,831,18.35,10.02,15.71,1.57,1,3,Contact Quarter
Q4,4922,826,16.78,10.89,15.62,1.43,2,4,Contact Quarter
Q3,13721,1584,11.54,30.35,29.95,0.99,3,2,Contact Quarter
Q2,22039,2048,9.29,48.75,38.72,0.79,4,1,Contact Quarter
Previous success,1511,978,64.73,3.34,18.49,5.53,1,2,Previous Campaign Status
Previous outcome unknown,5,2,40.0,0.01,0.04,3.42,2,5,Previous Campaign Status
Previous other,1840,307,16.68,4.07,5.8,1.43,3,4,Previous Campaign Status
Previous failure,4901,618,12.61,10.84,11.68,1.08,4,3,Previous Campaign Status
No previous contact,36954,3384,9.16,81.74,63.98,0.78,5,1,Previous Campaign Status
