segment,customers,subscribers,subscription_rate,customer_share_pct,subscriber_share_pct,lift_vs_overall,conversion_rank,subscriber_volume_rank,segment_type,opportunity_group
60+,1784,600,33.63,3.95,11.34,2.87,1,5,Age Group,High conversion niche
18-29,5273,928,17.6,11.66,17.55,1.5,2,3,Age Group,High conversion & scalable
30-39,18089,1913,10.58,40.01,36.17,0.9,3,1,Age Group,Large base opportunity
50-59,8410,785,9.33,18.6,14.84,0.8,4,4,Age Group,Below-average conversion
40-49,11655,1063,9.12,25.78,20.1,0.78,5,2,Age Group,Below-average conversion
"10,001+",829,135,16.28,1.83,2.55,1.39,1,5,Balance Band,High conversion niche
"1,001-5,000",11786,1807,15.33,26.07,34.17,1.31,2,2,Balance Band,High conversion & scalable
"5,001-10,000",2016,306,15.18,4.46,5.79,1.3,3,3,Balance Band,High conversion niche
"0-1,000",26814,2831,10.56,59.31,53.53,0.9,4,1,Balance Band,Large base opportunity
Negative,3766,210,5.58,8.33,3.97,0.48,5,4,Balance Band,Below-average conversion
tertiary,13301,1996,15.01,29.42,37.74,1.28,1,2,Education,High conversion & scalable
unknown,1857,252,13.57,4.11,4.76,1.16,2,4,Education,Monitor
secondary,23202,2450,10.56,51.32,46.32,0.9,3,1,Education,Large base opportunity
primary,6851,591,8.63,15.15,11.17,0.74,4,3,Education,Below-average conversion
student,938,269,28.68,2.07,5.09,2.45,1,7,Job,High conversion niche
retired,2264,516,22.79,5.01,9.76,1.95,2,5,Job,High conversion & scalable
unemployed,1303,202,15.5,2.88,3.82,1.33,3,8,Job,High conversion niche
management,9458,1301,13.76,20.92,24.6,1.18,4,1,Job,Large base opportunity
admin.,5171,631,12.2,11.44,11.93,1.04,5,4,Job,Large base opportunity
self-employed,1579,187,11.84,3.49,3.54,1.01,6,9,Job,Monitor
unknown,288,34,11.81,0.64,0.64,1.01,7,12,Job,Monitor
technician,7597,840,11.06,16.8,15.88,0.95,8,2,Job,Large base opportunity
services,4154,369,8.88,9.19,6.98,0.76,9,6,Job,Below-average conversion
housemaid,1240,109,8.79,2.74,2.06,0.75,10,11,Job,Below-average conversion
entrepreneur,1487,123,8.27,3.29,2.33,0.71,11,10,Job,Below-average conversion
blue-collar,9732,708,7.27,21.53,13.39,0.62,12,3,Job,Below-average conversion
No loans,17204,3135,18.22,38.05,59.27,1.56,1,1,Loan Profile,High conversion & scalable
Housing loan only,20763,1670,8.04,45.92,31.57,0.69,2,2,Loan Profile,Below-average conversion
Personal loan only,2877,219,7.61,6.36,4.14,0.65,3,4,Loan Profile,Below-average conversion
Housing + personal loans,4367,265,6.07,9.66,5.01,0.52,4,3,Loan Profile,Below-average conversion
