feature,coefficient,absolute_coefficient
categorical__month_jan,-1.075244,1.075244
categorical__month_mar,1.006137,1.006137
categorical__month_nov,-0.879294,0.879294
categorical__month_aug,-0.856202,0.856202
categorical__month_jul,-0.695422,0.695422
categorical__month_sep,0.604614,0.604614
categorical__poutcome_unknown,-0.600086,0.600086
categorical__month_oct,0.593359,0.593359
categorical__month_dec,0.577345,0.577345
categorical__month_may,-0.501836,0.501836
categorical__contact_unknown,-0.449841,0.449841
categorical__housing_yes,-0.438071,0.438071
categorical__job_retired,0.413326,0.413326
categorical__month_feb,-0.410505,0.410505
numeric__previous_campaign_success_flag,0.398017,0.398017
numeric__contact_known_flag,0.389897,0.389897
categorical__job_housemaid,-0.370309,0.370309
categorical__education_tertiary,0.295513,0.295513
categorical__job_student,0.293138,0.293138
numeric__previously_contacted,-0.285271,0.285271
categorical__loan_yes,-0.278299,0.278299
categorical__poutcome_other,0.276911,0.276911
numeric__campaign,-0.24806,0.24806
categorical__marital_married,-0.242823,0.242823
categorical__job_entrepreneur,-0.189873,0.189873
categorical__contact_telephone,-0.180476,0.180476
categorical__job_self-employed,-0.156923,0.156923
categorical__education_secondary,0.156663,0.156663
categorical__education_unknown,0.144064,0.144064
categorical__month_jun,0.137215,0.137215
categorical__job_unknown,-0.129284,0.129284
categorical__job_blue-collar,-0.128135,0.128135
categorical__default_yes,-0.102811,0.102811
categorical__job_services,-0.094426,0.094426
categorical__job_unemployed,0.077112,0.077112
numeric__negative_balance_flag,-0.075939,0.075939
categorical__job_technician,-0.074199,0.074199
categorical__marital_single,0.071472,0.071472
numeric__balance,0.052003,0.052003
numeric__active_loan_count,-0.050746,0.050746
categorical__job_management,-0.046004,0.046004
categorical__poutcome_success,0.039704,0.039704
numeric__previous,0.025509,0.025509
numeric__days_since_previous_contact,0.009062,0.009062
numeric__age,0.006983,0.006983
