feature,importance,importance_pct
categorical__poutcome_success,0.07770152913469652,7.77
numeric__age,0.07665081740394811,7.67
numeric__previous_campaign_success_flag,0.07337590702866355,7.34
numeric__balance,0.07216361831305436,7.22
numeric__contact_known_flag,0.0575207041671208,5.75
categorical__contact_unknown,0.05335467053025099,5.34
numeric__active_loan_count,0.053233264801044206,5.32
numeric__days_since_previous_contact,0.051999665257996014,5.2
numeric__campaign,0.03789814648485108,3.79
categorical__contact_cellular,0.033556010052585426,3.36
categorical__housing_yes,0.03197255332329898,3.2
categorical__housing_no,0.03125594708748875,3.13
numeric__previous,0.02394424862608037,2.39
categorical__month_aug,0.02215689924081204,2.22
numeric__previously_contacted,0.019512395859143702,1.95
categorical__month_jun,0.018700161575835646,1.87
categorical__poutcome_unknown,0.017819629911954404,1.78
categorical__month_apr,0.017474283527253946,1.75
categorical__month_oct,0.01736896214978874,1.74
categorical__month_mar,0.01719549830006631,1.72
categorical__marital_married,0.015978615870999045,1.6
categorical__month_may,0.013667500330593347,1.37
categorical__marital_single,0.012236909006355122,1.22
categorical__month_jul,0.01095798014379334,1.1
categorical__month_nov,0.009637836725615419,0.96
categorical__poutcome_failure,0.009241187893135877,0.92
categorical__job_blue-collar,0.008574437148848143,0.86
categorical__loan_yes,0.007874563475135602,0.79
categorical__month_sep,0.007579003580887403,0.76
categorical__education_tertiary,0.0075609676135771735,0.76
categorical__loan_no,0.0074073940758522605,0.74
categorical__education_secondary,0.006221794465651993,0.62
categorical__month_jan,0.0061679086917995375,0.62
numeric__negative_balance_flag,0.005940820118682454,0.59
categorical__job_retired,0.005886736774908179,0.59
categorical__education_primary,0.005556150708994222,0.56
categorical__marital_divorced,0.0050351265951530605,0.5
categorical__contact_telephone,0.004873468171508219,0.49
categorical__job_technician,0.004863991828275403,0.49
categorical__job_student,0.004424173398124708,0.44
categorical__job_management,0.004422423536456757,0.44
categorical__job_admin.,0.004218122221627692,0.42
categorical__poutcome_other,0.0037928391016691923,0.38
categorical__month_feb,0.003679882921368654,0.37
categorical__job_services,0.003642737661185691,0.36
categorical__job_entrepreneur,0.0023783168927557826,0.24
categorical__education_unknown,0.0023606462059407233,0.24
categorical__job_self-employed,0.002319983124060849,0.23
categorical__job_unemployed,0.001976915733661696,0.2
categorical__job_housemaid,0.0018542009039589314,0.19
categorical__month_dec,0.001823221199092402,0.18
categorical__default_yes,0.001354430558873862,0.14
categorical__default_no,0.0011877751984467149,0.12
categorical__job_unknown,0.00044702534707661407,0.04
