threshold,accuracy,precision,recall,f1_score,targeting_rate_pct,true_negatives,false_positives,false_negatives,true_positives,subscriber_capture_pct
0.1,0.1239,0.1178,1.0,0.2107,99.31,50,6338,0,846,100.0
0.15,0.1785,0.1234,0.987,0.2194,93.54,456,5932,11,835,98.7
0.2,0.2678,0.1341,0.9645,0.2355,84.09,1121,5267,30,816,96.45
0.25,0.3514,0.1459,0.9362,0.2524,75.06,1750,4638,54,792,93.62
0.3,0.4583,0.1652,0.896,0.2789,63.44,2557,3831,88,758,89.6
0.35,0.587,0.1964,0.8191,0.3169,48.77,3553,2835,153,693,81.91
0.4,0.6963,0.2393,0.7329,0.3608,35.82,4417,1971,226,620,73.29
0.45,0.7718,0.2911,0.6631,0.4046,26.64,5022,1366,285,561,66.31
0.5,0.8182,0.3423,0.6017,0.4363,20.56,5410,978,337,509,60.17
0.55,0.8463,0.389,0.5508,0.456,16.56,5656,732,380,466,55.08
0.6,0.8685,0.4443,0.4953,0.4684,13.04,5864,524,427,419,49.53
0.65,0.8786,0.4788,0.4279,0.4519,10.45,5994,394,484,362,42.79
0.7,0.8907,0.5494,0.3617,0.4362,7.7,6137,251,540,306,36.17
