propensity_decile,campaign_records,actual_subscribers,actual_subscription_rate,average_probability,subscriber_share_pct,lift_vs_overall,cumulative_subscribers,cumulative_subscriber_capture_pct
1,4522,2199,48.63,78.47,41.58,4.16,2199,41.58
2,4521,882,19.51,57.27,16.68,1.67,3081,58.25
3,4521,528,11.68,46.74,9.98,1.0,3609,68.24
4,4521,383,8.47,41.09,7.24,0.72,3992,75.48
5,4521,321,7.1,36.95,6.07,0.61,4313,81.55
6,4521,290,6.41,33.32,5.48,0.55,4603,87.03
7,4521,223,4.93,29.33,4.22,0.42,4826,91.25
8,4521,199,4.4,24.59,3.76,0.38,5025,95.01
9,4521,151,3.34,19.73,2.85,0.29,5176,97.86
10,4521,113,2.5,14.38,2.14,0.21,5289,100.0
